,dateTime,wtr_0.0,wtr_1.0,wtr_2.0,wtr_3.0,wtr_4.0,wtr_5.0,Month,year,month,day,hour,minutes,seconds
125,2020-11-29 00:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,0,0,1
126,2020-11-29 02:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,2,0,1
127,2020-11-29 04:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,4,0,1
128,2020-11-29 06:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,6,0,1
129,2020-11-29 08:00:01,1.649,2.165,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,8,0,1
130,2020-11-29 10:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,10,0,1
131,2020-11-29 12:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,12,0,1
132,2020-11-29 14:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,14,0,1
133,2020-11-29 16:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,16,0,1
134,2020-11-29 18:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,18,0,1
135,2020-11-29 20:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,20,0,1
136,2020-11-29 22:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,29,22,0,1
137,2020-11-30 00:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,30,0,0,1
138,2020-11-30 02:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,30,2,0,1
139,2020-11-30 04:00:01,1.5859999999999999,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,30,4,0,1
140,2020-11-30 06:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.55,5.478,,2020,11,30,6,0,1
141,2020-11-30 08:00:01,1.649,2.228,2.667,3.0669999999999997,4.55,5.541,,2020,11,30,8,0,1
142,2020-11-30 10:00:01,1.649,2.228,2.667,3.0669999999999997,4.487,5.478,,2020,11,30,10,0,1
143,2020-11-30 12:00:01,1.649,2.228,2.667,3.0669999999999997,4.55,5.478,,2020,11,30,12,0,1
144,2020-11-30 14:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,11,30,14,0,1
145,2020-11-30 16:00:01,1.649,2.228,2.667,3.0669999999999997,4.55,5.478,,2020,11,30,16,0,1
146,2020-11-30 18:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,11,30,18,0,1
147,2020-11-30 20:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,11,30,20,0,1
148,2020-11-30 22:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,11,30,22,0,1
149,2020-12-01 00:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,12,1,0,0,1
150,2020-12-01 02:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,12,1,2,0,1
151,2020-12-01 04:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,12,1,4,0,1
152,2020-12-01 06:00:01,1.5859999999999999,2.228,2.667,3.13,4.55,5.478,,2020,12,1,6,0,1
153,2020-12-01 08:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,12,1,8,0,1
154,2020-12-01 10:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,12,1,10,0,1
155,2020-12-01 12:00:01,1.5859999999999999,2.228,2.667,3.13,4.55,5.478,,2020,12,1,12,0,1
156,2020-12-01 14:00:01,1.5859999999999999,2.228,2.667,3.13,4.55,5.478,,2020,12,1,14,0,1
157,2020-12-01 16:00:01,1.649,2.228,2.667,3.13,4.55,5.478,,2020,12,1,16,0,1
